Area,Body type:,Brand:,Condition:,Engine capacity:,Fuel type:,Kilometers run:,Listing Title,Model:,Posted On,Price,Registration year:,Sold By,Subarea,Transmission:,Trim / Edition:,URL,Views,Year of Manufacture:
"Dhaka
1797
views",Saloon,Toyota,Used,"2,000 cc","CNG, Octane","116,000 km",Toyota Noah 2011,Noah,23/07/2025 12:56,"Tk 2,100,000",2016,Individual,Uttara,Automatic,,https://bikroy.com/en/ad/toyota-noah-2011-for-sale-dhaka-499,1797,2011
"Dhaka
1171
views",MPV,Toyota,New,"1,800 cc","Petrol, Hybrid, Octane","35,200 km",Toyota Noah Z Hybrid Bronze 2022,Noah,23/07/2025 12:53,"Tk 4,350,000",,Company,Baridhara,Automatic,Z Hybrid Bronze 2022,https://bikroy.com/en/ad/toyota-noah-z-hybrid-bronze-2022-for-sale-dhaka,1171,2022
"Dhaka
9550
views",SUV / 4x4,SsangYong,Used,"1,500 cc","Petrol, Octane","20,000 km",SsangYong Korando 2020,Korando,23/07/2025 12:43,"Tk 3,300,000",2021,Individual,Gulshan,Automatic,,https://bikroy.com/en/ad/ssangyong-korando-2020-for-sale-dhaka-4,9550,2020
"Dhaka
2794
views",MPV,Toyota,Used,"2,000 cc","CNG, Octane","66,000 km",Toyota Noah X 2010,Noah,23/07/2025 12:26,"Tk 2,050,000",2016,Individual,Dhanmondi,Automatic,X,https://bikroy.com/en/ad/toyota-noah-noha-x-2010-for-sale-dhaka,2794,2010
"Dhaka
9
views",Saloon,Toyota,Used,"1,500 cc","Petrol, CNG","88,000 km",Toyota Probox GL 2004,Probox,23/07/2025 12:22,"Tk 710,000",2008,Company,Mirpur,Automatic,GL,https://bikroy.com/en/ad/toyota-probox-gl-2004-for-sale-dhaka-2286,9,2004
Khulna,,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","55,600 km",Toyota Hiace Super GL Ambulance 2019,Hiace,23/07/2025 12:22,"Tk 3,370,000",,Company,Khulna Sadar,Automatic,Super GL Ambulance,https://bikroy.com/en/ad/toyota-hiace-super-gl-ambulance-2019-for-sale-khulna,,2019
"Dhaka
104
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Octane","65,000 km",Toyota Premio FL PUSH START 2019,Premio,22/07/2025 21:24,"Tk 4,050,000",,Company,Baridhara,Automatic,FL PUSH START,https://bikroy.com/en/ad/toyota-premio-fl-push-start-2019-for-sale-dhaka-6,104,2019
Dhaka,Saloon,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","73,000 km",Toyota Prius A PKG POWER SEAT-4AP 2020,Prius,23/07/2025 10:22,"Tk 3,150,000",,Company,Baridhara,Automatic,A PKG POWER SEAT-4AP,https://bikroy.com/en/ad/toyota-prius-a-pkg-power-seat-4ap-2020-for-sale-dhaka,,2020
"Dhaka
431
views",SUV / 4x4,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","40,000 km",Toyota Harrier Non Hybrid Z Leather 2020,Harrier,23/07/2025 9:42,"Tk 7,800,000",,Company,Baridhara,Automatic,Non Hybrid Z Leather,https://bikroy.com/en/ad/toyota-harrier-non-hybrid-z-leather-2020-for-sale-dhaka-46,431,2020
"Dhaka
3753
views",Hatchback,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","32,000 km",Toyota Fielder HYBRID EX PUSH 2020,Fielder,22/07/2025 15:35,"Tk 2,530,000",,Company,Baridhara,Automatic,HYBRID EX PUSH,https://bikroy.com/en/ad/toyota-fielder-hybrid-ex-push-2020-for-sale-dhaka-10,3753,2020
